Escuela_ID;Curso ;División;matricula_por_escuela_curso_y_division
111;6°;A;24
111;6°;B;24
111;6°;C;17
111;6°;D;21
111;7°;A;27
111;7°;B;28
111;7°;C;20
111;7°;D;21
112;2°;A;33
112;2°;B;32
112;2°;C;29
112;2°;D;30
112;3°;A;29
112;3°;B;29
112;3°;C;27
112;3°;D;25
112;4°;A;28
112;4°;B;29
112;4°;C;30
112;4°;D;30
112;5°;A;29
112;5°;B;30
112;5°;C;31
112;5°;D;30
112;6°;A;25
112;6°;B;26
112;6°;C;22
112;6°;D;22
112;7°;A;33
112;7°;B;28
112;7°;C;30
112;7°;D;30
113;2°;1º;21
113;3°;1º;23
113;4°;1º;24
113;5°;1º;15
113;6°;1º;16
113;7°;1º;12
114;2°;1º;16
114;3°;A;17
114;3°;B;15
114;4°;1º;27
114;5°;1º;27
114;6°;1º;21
114;7°;1º;24
115;2°;1º;22
115;3°;1º;19
115;4°;A;14
115;4°;B;13
115;5°;1º;24
115;6°;1º;23
115;7°;A;14
115;7°;B;14
116;2°;A;17
116;2°;B;17
116;3°;A;17
116;3°;B;19
116;4°;A;22
116;4°;B;20
116;5°;A;21
116;5°;B;21
116;6°;A;22
116;6°;B;17
116;7°;A;17
116;7°;B;17
117;2°;A;15
117;3°;A;15
117;4°;A;15
117;5°;A;19
117;6°;A;24
117;7°;A;11
118;2°;A;19
118;2°;B;18
118;3°;A;22
118;3°;B;21
118;4°;A;29
118;4°;B;27
118;5°;A;27
118;5°;B;24
118;6°;A;18
118;6°;B;17
118;7°;A;27
118;7°;B;29
119;2°;1º;26
119;3°;1º;21
119;4°;1º;22
119;5°;1º;17
119;6°;1º;17
119;7°;1º;23
120;2°;1º;21
120;3°;1º;18
120;4°;1º;21
120;5°;1º;28
120;6°;1º;21
120;7°;1º;13
121;2°;A;19
121;2°;B;17
121;3°;A;23
121;3°;B;20
121;4°;A;24
121;4°;B;24
121;5°;A;25
121;5°;B;22
121;6°;A;22
121;6°;B;22
121;7°;A;18
121;7°;B;17
122;2°;A;21
122;2°;B;24
122;2°;C;21
122;2°;D;22
122;3°;A;25
122;3°;B;26
122;3°;C;23
122;3°;D;24
122;4°;A;29
122;4°;B;30
122;4°;C;27
122;5°;A;32
122;5°;B;30
122;5°;C;30
122;6°;A;32
122;6°;B;21
122;6°;C;21
122;7°;A;29
122;7°;B;28
122;7°;C;27
123;2°;A;17
123;2°;B;17
123;3°;A;19
123;3°;B;16
123;4°;A;15
123;4°;B;20
123;5°;A;22
123;5°;B;23
123;6°;A;21
123;6°;B;21
123;7°;A;17
123;7°;B;16
123;7°;C;15
124;2°;A;16
124;2°;B;16
124;3°;A;26
124;3°;B;23
124;4°;A;21
124;4°;B;13
124;5°;A;30
124;5°;B;18
124;6°;A;22
124;6°;B;20
124;7°;A;18
124;7°;B;19
125;2°;A;18
125;2°;B;20
125;3°;A;22
125;3°;B;14
125;4°;A;22
125;4°;B;21
125;5°;A;21
125;5°;B;19
125;6°;A;21
125;6°;B;21
125;7°;A;22
125;7°;B;19
126;2°;2º Y 3º;13
126;3°;2º Y 3º;6
126;4°;1º;9
126;5°;1º;5
126;6°;1º;10
126;7°;1º;12
127;2°;A;19
127;2°;B;18
127;3°;A;15
127;3°;B;16
127;4°;A;27
127;4°;B;25
127;5°;A;25
127;5°;B;26
127;6°;A;20
127;6°;B;21
127;7°;A;19
127;7°;B;18
127;7°;C;18
128;2°;A;21
128;3°;A;20
128;3°;B;18
128;4°;A;14
128;4°;B (T);17
128;5°;A;27
128;6°;A;19
128;6°;B;19
128;7°;A;19
129;2°;A;25
129;3°;A;17
129;3°;B;15
129;4°;A;18
129;5°;A;16
129;5°;B;16
129;6°;A;24
129;7°;A;32
130;2°;1º;9
130;3°;1º;16
